"filename", "language", "Lua", "Markdown", "comment", "blank", "total"
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\BootstrapClient.lua", "Lua", 21, 0, 0, 7, 28
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\BootstrapServer.lua", "Lua", 52, 0, 1, 11, 64
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\RandomHelpers.lua", "Lua", 40, 0, 4, 7, 51
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\CharacterCriteria.lua", "Lua", 327, 0, 36, 73, 436
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\CharacterPanel\CharacterPanel.lua", "Lua", 350, 0, 47, 58, 455
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\CharacterPanel\DyePicker.lua", "Lua", 292, 0, 27, 74, 393
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\CharacterPanel\EquipmentPicker.lua", "Lua", 552, 0, 39, 107, 698
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\CharacterPanel\PickerBaseClass.lua", "Lua", 488, 0, 46, 101, 635
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\CharacterPanel\PickerBaseFilterClass.lua", "Lua", 19, 0, 15, 5, 39
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\CharacterPanel\SlotContextMenu.lua", "Lua", 90, 0, 11, 17, 118
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\ItemValidator.lua", "Lua", 439, 0, 36, 78, 553
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\Main.lua", "Lua", 265, 0, 18, 66, 349
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\PresetManagement\BackupManager.lua", "Lua", 121, 0, 16, 28, 165
"d:\Mods\BG3 Modder MultiTool\The Armory\Armory\Mods\Armory\ScriptExtender\Lua\Client\Vanity\PresetManagement\ExportManager.lua", "Lua", 221, 0, 15, 55, 291
